Source,Target,Type,Id,Label,Weight
Alireza Modirshanechi,Wulfram Gerstner,Undirected,0,,1
Alireza Modirshanechi,Johanni Brea,Undirected,1,,1
Alireza Modirshanechi,Michael Herzog,Undirected,2,,1
Alireza Modirshanechi,Vahid Esmaeili,Undirected,3,,1
Alireza Modirshanechi,Carl Petersen,Undirected,4,,1
Alireza Modirshanechi,Sylvain Crochet,Undirected,5,,1
Alireza Modirshanechi,Anastasiia Oryshchuk,Undirected,6,,1
Alireza Modirshanechi,Marco P. Lehmann,Undirected,7,,1
Alireza Modirshanechi,Vasiliki Liakoni,Undirected,8,,1
Alireza Modirshanechi,Samuel Muscinelli,Undirected,9,,1
Alireza Modirshanechi,Keita Tamura,Undirected,10,,1
Alireza Modirshanechi,Marta Boscaglia,Undirected,11,,1
Alireza Modirshanechi,Hamid Aghajan,Undirected,12,,1
Alireza Modirshanechi,Parnian Kassraie,Undirected,13,,1
Alireza Modirshanechi,Guillaume BELLEC,Undirected,14,,1
Alireza Modirshanechi,Kerstin Preuschoff,Undirected,15,,1
Alireza Modirshanechi,Sophia Becker,Undirected,16,,1
Alireza Modirshanechi,Kacper Kondrakiewicz,Undirected,17,,1
Alireza Modirshanechi,Christos Sourmpis,Undirected,18,,1
Wulfram Gerstner,Carl Petersen,Undirected,19,,1
Wulfram Gerstner,Marco P. Lehmann,Undirected,20,,1
Wulfram Gerstner,Vasiliki Liakoni,Undirected,21,,1
Wulfram Gerstner,Samuel Muscinelli,Undirected,22,,1
Wulfram Gerstner,Keita Tamura,Undirected,23,,1
Wulfram Gerstner,Guillaume BELLEC,Undirected,24,,1
Wulfram Gerstner,Sophia Becker,Undirected,25,,1
Wulfram Gerstner,Christos Sourmpis,Undirected,26,,1
Wulfram Gerstner,Tilo Schwalger,Undirected,27,,1
Wulfram Gerstner,Chiara Gastaldi,Undirected,28,,1
Johanni Brea,Marco P. Lehmann,Undirected,29,,1
Johanni Brea,Vasiliki Liakoni,Undirected,30,,1
Johanni Brea,Samuel Muscinelli,Undirected,31,,1
Johanni Brea,Guillaume BELLEC,Undirected,32,,1
Johanni Brea,Sophia Becker,Undirected,33,,1
Johanni Brea,Alexander Seeholzer,Undirected,34,,1
Michael Herzog,Marco P. Lehmann,Undirected,35,,1
Vahid Esmaeili,Sylvain Crochet,Undirected,36,,1
Vahid Esmaeili,Mathew E. Diamond,Undirected,37,,1
Vahid Esmaeili,Keita Tamura,Undirected,38,,1
Vahid Esmaeili,Mohammad Hassan Moradi,Undirected,39,,1
Vahid Esmaeili,Athena Akrami,Undirected,40,,1
Vahid Esmaeili,Mohammad B. SHAMSOLLAHI,Undirected,41,,1
Vahid Esmaeili,Pierre Le Merre,Undirected,42,,1
Vahid Esmaeili,Samuel Muscinelli,Undirected,43,,1
Vahid Esmaeili,Varun Sreenivasan,Undirected,44,,1
Vahid Esmaeili,Dr. Sohrab Saberi Moghadam,Undirected,45,,1
Vahid Esmaeili,Farzad Towhidkhah,Undirected,46,,1
Vahid Esmaeili,Christos Sourmpis,Undirected,47,,1
Carl Petersen,Sylvain Crochet,Undirected,48,,1
